issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Bump ini from 1.3.5 to 1.3.8,362,open,https://github.com/MetaMask/web3-provider-engine/issues/362,MetaMask/web3-provider-engine,"['bump', 'ini', '135', '138']","['bump', 'ini', '1', '3', '5', '1', '3', '8']"
Bump elliptic from 6.5.3 to 6.5.4,361,closed,https://github.com/MetaMask/web3-provider-engine/issues/361,MetaMask/web3-provider-engine,"['bump', 'elliptic', '653', '654']","['bump', 'ellipt', '6', '5', '3', '6', '5', '4']"
Isomorphic fetch,360,closed,https://github.com/MetaMask/web3-provider-engine/issues/360,MetaMask/web3-provider-engine,"['isomorphic', 'fetch']","['isomorph', 'fetch']"
Webpack error,359,open,https://github.com/MetaMask/web3-provider-engine/issues/359,MetaMask/web3-provider-engine,"['webpack', 'error']","['webpack', 'error']"
Upgrade guide for 14 -> 15,358,open,https://github.com/MetaMask/web3-provider-engine/issues/358,MetaMask/web3-provider-engine,"['upgrade', 'guide', '14', '15']","['upgrad', 'guid', '14', '15']"
16.0.1,357,closed,https://github.com/MetaMask/web3-provider-engine/issues/357,MetaMask/web3-provider-engine,['1601'],"['16', '0', '1']"
Fix publish files,356,closed,https://github.com/MetaMask/web3-provider-engine/issues/356,MetaMask/web3-provider-engine,"['fix', 'publish', 'file']","['fix', 'publish', 'file']"
Consolidate changelog,355,closed,https://github.com/MetaMask/web3-provider-engine/issues/355,MetaMask/web3-provider-engine,"['consolidate', 'changelog']","['consolid', 'changelog']"
16.0.0,354,closed,https://github.com/MetaMask/web3-provider-engine/issues/354,MetaMask/web3-provider-engine,['1600'],"['16', '0', '0']"
eth-rpc-errors@3.0.0,353,closed,https://github.com/MetaMask/web3-provider-engine/issues/353,MetaMask/web3-provider-engine,['ethrpcerrors300'],"['eth', 'rpc', 'error', '3', '0', '0']"
eth-json-rpc-infura@5.1.0,352,closed,https://github.com/MetaMask/web3-provider-engine/issues/352,MetaMask/web3-provider-engine,['ethjsonrpcinfura510'],"['eth', 'json', 'rpc', 'infura', '5', '1', '0']"
eth-json-rpc-filters@4.2.1,351,closed,https://github.com/MetaMask/web3-provider-engine/issues/351,MetaMask/web3-provider-engine,['ethjsonrpcfilters421'],"['eth', 'json', 'rpc', 'filter', '4', '2', '1']"
eth-json-rpc-middleware@6.0.0,350,closed,https://github.com/MetaMask/web3-provider-engine/issues/350,MetaMask/web3-provider-engine,['ethjsonrpcmiddleware600'],"['eth', 'json', 'rpc', 'middlewar', '6', '0', '0']"
Add CODEOWNERS file,349,closed,https://github.com/MetaMask/web3-provider-engine/issues/349,MetaMask/web3-provider-engine,"['add', 'codeowners', 'file']","['add', 'codeown', 'file']"
Use elliptic@6.5.3,348,closed,https://github.com/MetaMask/web3-provider-engine/issues/348,MetaMask/web3-provider-engine,"['use', 'elliptic653']","['use', 'ellipt', '6', '5', '3']"
Use bl@1.2.3,347,closed,https://github.com/MetaMask/web3-provider-engine/issues/347,MetaMask/web3-provider-engine,"['use', 'bl123']","['use', 'bl', '1', '2', '3']"
Invalid request with parity/open-ethereum,346,open,https://github.com/MetaMask/web3-provider-engine/issues/346,MetaMask/web3-provider-engine,"['invalid', 'request', 'parityopenethereum']","['invalid', 'request', 'pariti', 'open', 'ethereum']"
