issue,number,state,link,repository_name,trimmed_list_lemmatize,trimmed_list_stemming
Updated oracle best practices,257,closed,https://github.com/ConsenSys/smart-contract-best-practices/issues/257,ConsenSys/smart-contract-best-practices,"['updated', 'oracle', 'best', 'practice']","['updat', 'oracl', 'best', 'practic']"
added oracle manipulation to known attacks,256,closed,https://github.com/ConsenSys/smart-contract-best-practices/issues/256,ConsenSys/smart-contract-best-practices,"['added', 'oracle', 'manipulation', 'known', 'attack']","['ad', 'oracl', 'manipul', 'known', 'attack']"
update bounties ,254,closed,https://github.com/ConsenSys/smart-contract-best-practices/issues/254,ConsenSys/smart-contract-best-practices,"['update', 'bounty']","['updat', 'bounti']"
Update bounties,253,open,https://github.com/ConsenSys/smart-contract-best-practices/issues/253,ConsenSys/smart-contract-best-practices,"['update', 'bounty']","['updat', 'bounti']"
Update: securify hyperlink,252,closed,https://github.com/ConsenSys/smart-contract-best-practices/issues/252,ConsenSys/smart-contract-best-practices,"['update', 'securify', 'hyperlink']","['updat', 'securifi', 'hyperlink']"
Oracle Manipulation,251,closed,https://github.com/ConsenSys/smart-contract-best-practices/issues/251,ConsenSys/smart-contract-best-practices,"['oracle', 'manipulation']","['oracl', 'manipul']"
Added a couple of tools,250,open,https://github.com/ConsenSys/smart-contract-best-practices/issues/250,ConsenSys/smart-contract-best-practices,"['added', 'couple', 'tool']","['ad', 'coupl', 'tool']"
dead link: securify,249,closed,https://github.com/ConsenSys/smart-contract-best-practices/issues/249,ConsenSys/smart-contract-best-practices,"['dead', 'link', 'securify']","['dead', 'link', 'securifi']"
Corrected spelling error,248,closed,https://github.com/ConsenSys/smart-contract-best-practices/issues/248,ConsenSys/smart-contract-best-practices,"['corrected', 'spelling', 'error']","['correct', 'spell', 'error']"
Add Vertigo mutation testing to security_tools.md,247,closed,https://github.com/ConsenSys/smart-contract-best-practices/issues/247,ConsenSys/smart-contract-best-practices,"['add', 'vertigo', 'mutation', 'testing', 'security_toolsmd']","['add', 'vertigo', 'mutat', 'test', 'security_tool', 'md']"
Add to Front-running section,246,closed,https://github.com/ConsenSys/smart-contract-best-practices/issues/246,ConsenSys/smart-contract-best-practices,"['add', 'frontrunning', 'section']","['add', 'front', 'run', 'section']"
Update bug_bounty_list.md,245,closed,https://github.com/ConsenSys/smart-contract-best-practices/issues/245,ConsenSys/smart-contract-best-practices,"['update', 'bug_bounty_listmd']","['updat', 'bug_bounty_list', 'md']"
Update Software Engineering Upgradeability section,244,closed,https://github.com/ConsenSys/smart-contract-best-practices/issues/244,ConsenSys/smart-contract-best-practices,"['update', 'software', 'engineering', 'upgradeability', 'section']","['updat', 'softwar', 'engin', 'upgrad', 'section']"
Update Aragon Bug Bounty link,243,closed,https://github.com/ConsenSys/smart-contract-best-practices/issues/243,ConsenSys/smart-contract-best-practices,"['update', 'aragon', 'bug', 'bounty', 'link']","['updat', 'aragon', 'bug', 'bounti', 'link']"
Update transfer() and send() after istanbul,242,closed,https://github.com/ConsenSys/smart-contract-best-practices/issues/242,ConsenSys/smart-contract-best-practices,"['update', 'transfer', 'send', 'istanbul']","['updat', 'transfer', 'send', 'istanbul']"
Replace rate limiting example,241,closed,https://github.com/ConsenSys/smart-contract-best-practices/issues/241,ConsenSys/smart-contract-best-practices,"['replace', 'rate', 'limiting', 'example']","['replac', 'rate', 'limit', 'exampl']"
Remove outdated and unmaintained content,240,closed,https://github.com/ConsenSys/smart-contract-best-practices/issues/240,ConsenSys/smart-contract-best-practices,"['remove', 'outdated', 'unmaintained', 'content']","['remov', 'outdat', 'unmaintain', 'content']"
Meta Issue for Gitcoining,239,closed,https://github.com/ConsenSys/smart-contract-best-practices/issues/239,ConsenSys/smart-contract-best-practices,"['meta', 'issue', 'gitcoining']","['meta', 'issu', 'gitcoin']"
Add SWC links ,238,closed,https://github.com/ConsenSys/smart-contract-best-practices/issues/238,ConsenSys/smart-contract-best-practices,"['add', 'swc', 'link']","['add', 'swc', 'link']"
Replace rate limiting example,237,closed,https://github.com/ConsenSys/smart-contract-best-practices/issues/237,ConsenSys/smart-contract-best-practices,"['replace', 'rate', 'limiting', 'example']","['replac', 'rate', 'limit', 'exampl']"
Some basic updates,236,closed,https://github.com/ConsenSys/smart-contract-best-practices/issues/236,ConsenSys/smart-contract-best-practices,"['some', 'basic', 'update']","['some', 'basic', 'updat']"
Update to be made after Istanbul,235,closed,https://github.com/ConsenSys/smart-contract-best-practices/issues/235,ConsenSys/smart-contract-best-practices,"['update', 'made', 'istanbul']","['updat', 'made', 'istanbul']"
